Year,event_count,avg_tone
2010,281,-4.2142737351555377
2011,234,-3.7472300058385248
2012,311,-5.0650095730405553
2013,347,-3.9619841118479706
2014,52830,-5.3199743522220109
2015,3894629,-5.0814181918432695
2016,5145858,-5.0267807616286664
2017,4910837,-4.92972833720238
2018,4345723,-5.0217716364948721
2019,3878159,-5.1681472450721717
2020,2974478,-4.8881500064764767
2021,2678398,-5.0108846899821105
2022,2495117,-5.0459427275241611
2023,3118858,-5.1054525984557078
